107,Jarrett Allen,CLE,24,45,28,17,33.1,114.9,107.9,7.0,7.4,1.14,12.1,9.7,20.9,15.4,10.6,63.4,66.0,16.2,96.71,13.2,2999
107,Jaylen Brown,BOS,26,45,31,14,36.0,115.5,110.9,4.6,15.3,1.04,11.1,3.5,15.8,9.8,10.7,55.1,58.7,30.9,100.93,13.4,3399
107,Josh Giddey,OKC,20,45,19,26,30.8,110.8,113.1,-2.3,27.1,1.85,24.1,5.9,19.0,12.4,13.0,51.9,53.6,23.8,103.33,12.7,2989
107,Josh Okogie,PHX,24,45,23,22,13.0,109.0,103.4,5.7,12.9,1.33,16.3,10.0,12.1,11.0,12.2,44.9,51.0,18.1,101.50,8.5,1228
107,Keldon Johnson,SAS,23,45,13,32,32.5,111.3,121.7,-10.4,12.4,1.30,10.7,2.5,12.5,7.2,8.2,50.5,54.6,27.7,101.02,10.0,3074
107,Matisse Thybulle,PHI,25,45,30,15,12.1,111.0,103.8,7.1,5.2,3.14,15.6,2.9,7.3,5.1,5.0,52.8,53.8,9.1,102.81,5.0,1165
107,Montrezl Harrell,PHI,29,45,29,16,13.0,112.4,110.6,1.8,7.4,0.97,10.8,9.6,11.6,10.6,11.2,60.3,63.6,17.5,100.95,9.6,1219
107,Naz Reid,MIN,23,45,21,24,17.6,108.9,111.8,-2.9,8.0,0.70,8.6,6.6,19.4,13.1,12.2,59.8,61.4,22.5,104.19,11.8,1713
107,O.G. Anunoby,TOR,25,45,21,24,35.8,113.8,112.0,1.9,8.3,0.93,10.6,3.9,12.1,7.7,11.4,52.7,56.2,20.0,98.74,8.8,3307
107,Oshae Brissett,IND,24,45,20,25,16.4,110.6,110.8,-0.2,4.7,1.19,8.7,5.4,14.7,10.0,7.3,48.5,53.3,14.2,102.14,7.4,1576
107,RJ Barrett,NYK,22,45,23,22,34.7,115.2,116.1,-0.9,12.4,1.22,11.7,2.3,12.4,7.3,9.6,49.2,54.0,25.2,98.99,9.5,3220
107,Shake Milton,PHI,26,45,32,13,22.8,111.9,108.3,3.6,21.1,2.37,25.3,2.6,10.1,6.5,10.7,55.4,58.9,18.2,101.83,9.8,2176
107,Tobias Harris,PHI,30,45,29,16,33.8,116.2,111.6,4.6,11.8,1.95,15.1,3.2,15.7,9.6,7.8,57.5,59.8,19.3,97.69,11.2,3098
107,Trae Young,ATL,24,45,23,22,35.7,114.9,114.2,0.8,40.1,2.41,26.2,1.8,6.1,4.0,10.9,48.0,56.6,32.0,103.74,14.1,3485
107,Tre Mann,OKC,21,45,21,24,18.6,106.8,105.8,1.0,11.9,1.63,14.8,2.0,10.1,5.9,9.1,46.9,48.0,19.6,102.65,6.5,1802
107,Troy Brown Jr.,LAL,23,45,20,25,23.9,111.6,112.3,-0.7,5.2,1.34,12.1,3.4,13.1,8.3,9.0,52.6,54.7,12.1,102.11,6.6,2290
107,Zach LaVine,CHI,27,45,22,23,35.7,111.2,113.0,-1.7,17.9,1.69,15.5,1.8,11.1,6.6,9.1,54.0,58.6,27.4,101.14,11.7,3391
133,Brandon Clarke,MEM,26,44,26,18,19.7,109.4,107.5,1.9,9.0,1.06,12.0,7.3,17.7,12.7,11.3,67.0,69.4,17.9,104.77,13.5,1884
133,Jalen Duren,DET,19,44,12,32,24.5,109.6,116.7,-7.1,5.9,0.86,11.7,12.8,21.5,17.0,13.6,66.0,66.7,12.3,101.34,11.0,2281
133,Jeremy Sochan,SAS,19,44,11,33,26.2,112.4,120.4,-8.0,12.7,1.45,18.2,6.1,13.2,9.4,12.5,49.5,51.9,17.9,101.73,6.6,2440
133,Jusuf Nurkic,POR,28,44,22,22,27.8,115.8,113.8,2.0,15.6,1.18,17.2,8.8,26.3,17.7,14.5,56.9,59.9,21.9,99.49,12.2,2537
133,Luke Kornet,BOS,27,44,29,15,11.6,109.6,105.4,4.3,8.2,1.81,18.2,11.1,13.1,12.1,10.1,69.4,71.8,10.6,102.50,10.1,1090
133,Paolo Banchero,ORL,20,44,17,27,33.7,109.9,114.4,-4.5,17.1,1.30,14.4,3.1,15.9,9.6,11.1,47.7,54.8,27.4,100.65,11.3,3107
133,Rudy Gobert,MIN,30,44,21,23,31.1,108.5,108.5,0.0,4.1,0.50,7.2,10.9,25.8,18.7,14.4,67.5,69.2,15.6,100.80,14.1,2860
140,Alex Caruso,CHI,28,43,19,24,24.5,112.7,107.6,5.1,16.9,2.55,34.8,2.6,10.2,6.4,13.6,53.4,56.9,10.9,101.00,7.1,2220
140,Darius Garland,CLE,23,43,22,21,35.7,115.0,108.7,6.3,35.1,2.82,27.4,1.4,7.0,4.2,9.7,52.6,58.1,26.6,96.87,13.7,3107
140,David Roddy,MEM,21,43,28,15,18.1,107.9,111.0,-3.0,5.1,0.74,8.5,3.1,10.3,6.7,11.4,48.4,49.9,15.8,103.97,4.9,1687
140,Deandre Ayton,PHX,24,43,19,24,29.9,111.8,115.1,-3.3,11.6,1.01,11.1,9.4,25.4,17.1,11.0,57.6,59.7,24.3,98.48,14.1,2635
140,Eric Gordon,HOU,34,43,11,32,29.9,106.9,115.0,-8.1,13.1,1.63,17.5,0.9,5.9,3.3,10.7,51.4,55.7,17.1,102.35,7.5,2754
140,Fred VanVleet,TOR,28,43,19,24,37.0,114.5,114.0,0.5,26.0,3.64,25.2,1.2,11.5,5.9,6.9,48.7,54.2,22.1,97.81,11.2,3247
140,Garrison Mathews,HOU,26,43,11,32,13.4,103.0,109.0,-6.0,5.7,1.38,10.0,1.5,7.4,4.4,7.3,51.2,56.8,13.8,102.09,6.0,1227
140,Goran Dragic,CHI,36,43,20,23,16.3,112.7,110.8,2.0,23.7,2.49,26.1,1.7,7.5,4.7,10.5,50.9,52.2,20.4,103.09,7.6,1506
140,Hamidou Diallo,DET,24,43,10,33,16.7,110.3,109.6,0.7,9.0,0.84,10.6,5.9,14.5,10.1,12.7,58.5,59.8,20.0,104.46,9.8,1559
140,Jock Landale,PHX,27,43,21,22,14.5,112.3,105.0,7.3,9.3,0.95,12.1,10.8,15.6,13.2,12.8,56.2,61.0,18.4,101.08,10.7,1305
140,Joe Harris,BKN,31,43,26,17,24.6,112.5,111.0,1.5,8.6,2.43,17.1,1.6,9.0,5.6,7.0,59.0,59.5,13.7,100.67,6.0,2215
140,John Collins,ATL,25,43,22,21,31.6,113.7,112.3,1.3,5.4,0.95,9.1,3.7,20.0,11.9,9.6,55.4,58.7,16.8,102.54,9.2,2902
140,John Konchar,MEM,26,43,27,16,23.2,116.1,106.3,9.8,7.7,2.52,19.1,3.7,15.4,9.6,7.6,53.6,55.5,10.6,103.00,8.7,2138
140,Malcolm Brogdon,BOS,30,43,30,13,25.0,115.0,110.7,4.3,23.4,2.42,21.8,3.0,14.4,8.6,9.0,57.0,61.6,22.3,100.61,13.5,2256
140,Monte Morris,WAS,27,43,22,21,28.4,117.5,114.5,3.0,24.1,5.97,35.1,1.5,10.0,5.9,5.9,55.4,57.9,14.9,99.80,10.0,2536
140,Myles Turner,IND,26,43,21,22,29.9,114.6,113.5,1.1,6.8,0.84,8.2,4.9,20.5,12.8,9.7,61.2,64.8,21.4,101.87,12.5,2735
