72,"Niang, Georges",PHI,47,31,16,47.2,37.7,83.8,45.1,10.2,32.2,31.9,20.4,26.4,77.4,10.7,32.4,43.1,22.1,15.8,6.4,5.2,4.9,19.2,21.9,106.2,-6.4
72,"O'Neale, Royce",BKN,47,28,19,48.9,40.1,90.5,44.3,12.1,33.4,36.2,19.1,24.5,78.0,12.2,32.5,44.8,23.2,13.7,7.7,3.8,7.8,18.1,21.7,111.3,-2.8
72,"Portis, Bobby",MIL,47,30,17,47.0,40.5,89.0,45.5,11.4,32.5,35.3,17.0,21.2,80.4,11.2,32.0,43.3,22.6,12.0,7.0,3.9,4.8,16.5,17.8,109.5,-1.0
72,"Powell, Dwight",DAL,47,26,21,49.7,41.7,86.9,47.9,11.4,31.9,35.8,18.3,22.6,81.2,9.9,32.3,42.2,25.2,13.8,5.5,3.9,2.9,23.3,19.6,113.1,-5.5
72,"Sabonis, Domantas",SAC,47,27,20,47.7,43.3,87.7,49.4,11.0,30.9,35.7,16.1,20.3,79.4,9.3,31.6,41.0,25.1,14.1,6.9,4.3,2.6,21.7,18.4,113.8,-6.5
72,"Smith Jr., Jabari",HOU,47,11,36,47.9,42.1,89.1,47.3,14.4,39.1,36.7,18.6,24.0,77.7,11.2,32.1,43.3,25.9,12.4,8.8,5.5,4.9,20.0,20.5,117.3,10.5
72,"Smith, Jalen",IND,47,23,24,46.2,41.9,87.9,47.6,12.2,33.8,36.0,19.8,24.2,81.6,12.2,33.6,45.8,26.8,13.1,8.6,5.3,5.4,19.1,19.8,115.7,6.2
72,"Tucker, P.J.",PHI,47,30,17,49.2,42.2,86.3,48.9,11.3,31.4,36.1,17.2,21.7,79.4,8.7,32.9,41.6,25.7,14.6,6.7,5.3,4.0,20.0,18.9,113.0,-2.9
89,"Adebayo, Bam",MIA,46,25,21,49.1,39.2,83.5,47.0,13.2,36.4,36.3,17.1,21.4,79.9,8.3,33.6,41.9,25.0,16.4,6.7,3.7,2.8,20.3,18.8,108.8,-4.1
89,"Allen, Grayson",MIL,46,31,15,46.8,41.2,89.4,46.1,11.7,32.4,36.1,13.5,17.8,75.8,9.8,32.0,41.7,22.8,12.2,7.5,4.4,5.7,18.9,16.9,107.6,-3.6
89,"Bol, Bol",ORL,46,17,29,47.8,42.4,87.9,48.2,13.7,39.2,35.0,16.2,20.7,78.1,9.6,31.8,41.5,26.2,14.2,8.0,5.2,5.6,19.6,19.1,114.7,6.1
